full_name,epoch_mjd,a,e,i,om,w,ma,n,first_obs,H,per_y
"       (1999 CA132)",51241,43.96606505339681,.09794302216314377,12.0711085882723,154.8709783910873,.5277240206774405,.0719859004701519,.003380863810370094,1999-02-11,7.4,291.530904127032
"       (1999 CM153)",57000,46.01970957281787,.1428245293922436,.1987911297140539,92.3114294692417,4.388703353821587,57.58575270142471,.003157099457392035,1999-02-11,7.4,312.193612101706
"       (1999 CG154)",51438,42.98652866277914,.08730531373798958,.7659069885042882,100.189616198556,176.9211962760653,217.9490168745902,.00349707954284535,1999-02-11,7.4,281.842683671306
"       (1999 HJ12)",57000,43.04887941994673,.04355644623750581,4.546254567046151,122.4381331188713,225.5245918438053,255.6132124816029,.003489484690603676,1999-04-18,7.4,282.456113368718
"       (1999 OZ3)",57000,44.01133215840725,.1280677944726756,2.54808651185242,137.8044175636318,278.0257635315436,294.3818846922492,.003375649157096223,1999-07-21,7.4,291.981256788962
"       (1999 RY214)",57000,45.14123281330729,.1788206490363663,13.70133580995331,327.4449500698598,71.24590126310035,357.863679875972,.003249705089528614,1999-09-06,7.4,303.297147345308
"       (1999 RF215)",51469,43.9602065268759,9.249087652713991E-5,3.675203135228413,327.5791433894132,165.081863374962,195.1470214580586,.003381539678675444,1999-09-07,7.4,291.47263584783
"       (1999 RG215)",57000,46.28887342806748,.07018306086387704,.2439395231116552,293.0264102819622,115.4279929063011,313.8072044528465,.003129602335646968,1999-09-07,7.4,314.93658863333
"       (1999 RJ215)",57000,59.10816650880702,.4133491079247493,19.73121880440764,315.0043692469459,43.75536064406764,6.17221407010287,.002168866605073175,1999-09-07,7.4,454.443016948155
"       (2000 SF331)",51832,44.01967965796774,3.910128543710143E-5,4.085979905632508,91.69402744310881,225.641362486417,102.1503117917669,.003374689010606123,2000-09-23,7.4,292.064329563372
"       (2001 OK108)",57000,42.76154394935475,.03421771119232919,1.999899093253343,114.8155563792889,121.7595952460019,81.86737153931658,.003524715007789865,1999-07-20,7.4,279.632901153499
"       (2001 OY108)",52115,46.05201092767868,.09868297474723749,6.792851905151065,58.21316292968179,5.152970015345784,179.5693968728137,.003153778406794544,2001-07-24,7.4,312.522364045651
"       (2001 XC255)",52283,43.80543806424443,.0487919541970516,2.320878259831236,112.4901551615591,353.0557907913267,.09089446134007566,.003399476413728833,2001-12-09,7.4,289.93473212142
"       (2002 GW32)",57000,35.01791097333153,.07340660414902464,6.365922365196753,276.6733377591257,123.2381056877842,206.4142697164403,.004756294336684502,2002-04-08,7.4,207.225670574167
"       (2003 FD128)",57000,38.45311430454505,.02643581347195569,5.296111982890682,149.0859583306906,346.3416894865695,46.71962567473626,.004133393912389129,2003-03-31,7.4,238.454476940442
"       (2003 FZ129)",57000,62.18894094195541,.3890715435288211,5.787424890841577,28.02512114202521,161.0578875282251,9.150488428789716,.002009714344942203,2003-03-24,7.4,490.431033568555
"       (2003 HB57)",57000,162.3925719791651,.7654541694346852,15.48811467273938,197.8484697265501,10.66602822758211,1.028105148467714,.0004762717624920916,2003-04-26,7.4,2069.46193536704
"       (2003 HH57)",57000,44.15995721780187,.08991787779735756,1.431042436980664,39.14796045100154,151.1752453736498,19.79808429841259,.003358621841584209,2003-04-26,7.4,293.461523760785
"       (2003 SR317)",57000,39.3591325842585,.1645029648999508,8.359350566272941,175.6792707580928,118.0634862830825,62.19521245673923,.003991496896124888,2003-09-25,7.4,246.931491873248
"       (2003 TK58)",57000,43.24325725371553,.06066058602206096,3.351732134198625,67.42866230629672,207.0384902651807,169.5118950454267,.003465983372718009,2003-10-03,7.4,284.371324780659
"       (2003 UY291)",57000,49.37533032688438,.1620584351778839,3.54334567128817,358.3498146948233,18.05431809166048,40.89584123379218,.002840789491046419,2003-10-24,7.4,346.955058258997
"       (2003 UO292)",52949,39.38451621316199,.187932853433274,4.966548760320514,63.34489813967645,345.1153355013964,.06051173102190584,.003987638691475054,2003-10-22,7.4,247.170408260576
"       (2003 WS184)",52965,44.01083407850449,.05048423745381905,2.573507569005241,118.0465672056873,305.9127266267233,.005136278191995781,.003375706461659842,2003-11-20,7.4,291.976300238772
"       (2003 WW188)",52967,44.2513141664308,.0765284525471083,5.10473990488635,357.2498209639132,90.1596644857571,.002236081022700416,.003348226386793075,2003-11-21,7.4,294.37265271408
"       (2003 YP179)",57000,44.32969306867899,.08365767794153706,.9491408805015333,66.24110795573959,5.51425411818479,45.81895134451281,.003339350362975154,2003-12-24,7.4,295.155097918334
"       (2004 DK64)",53064,43.65078416630941,.1005761343660186,18.63339648431421,162.3308139893384,7.460796564428956,.001793008494549051,.003417558826936751,2004-02-26,7.4,288.400678167989
"       (2004 EQ95)",53080,44.6566993,0.0606887,5.48398,122.45491,38.84146,.003440000000001351,.003302738156503853,2004-03-15,7.4,298.427013181966
"       (2004 HE79)",57000,44.34273562047903,.09915249870323725,3.089289215991827,62.81199846749941,161.6146341771409,14.14069895861699,.003337877164038278,2004-04-24,7.4,295.285366995085
"       (2004 KB19)",57000,39.46175076979664,.2169440661511288,17.150518738288,43.96158861564118,286.2437714763178,297.7958084601119,.003975937509135492,2004-05-24,7.4,247.897830663306
"       (2004 KD19)",57000,38.24919551246452,.01755431764643746,2.12347029819271,4.565615454682662,75.63301823322176,168.8898777075928,.004166492612824139,2004-05-24,7.4,236.56018981862
"       (2004 KG19)",57000,43.28712468131434,.02321040471609775,.9649456393596484,298.6496442815543,270.2998203002918,32.09863700034248,.003460716035764218,2004-05-24,7.4,284.804148384831
"       (2005 CE81)",57000,43.00908444021033,.05315948982191742,3.081171443804017,103.7862269374023,42.53763270639126,.9089392485377119,.003494328879606318,2005-02-10,7.4,282.064544387877
"       (2005 EZ300)",57000,39.70843288912829,.2402184845269917,10.30965018222069,357.0895231293281,251.5681070954477,322.9893831399125,.003938945321874497,2005-03-11,7.4,250.225936850149
"       (2005 GY186)",53471,43.07570140132893,.1108305998588999,12.50952912083097,4.993431447382983,182.4426849262394,359.9865125627688,.003486225997681225,2005-04-10,7.4,282.720134616379
"       (2005 PT21)",57000,74.31365524792923,.5177588254434763,7.917180858107247,177.1533072556218,106.9750921011177,22.38911505670873,.001538512888688502,2005-08-09,7.4,640.635701276282
"       (2005 YM292)",53729,45.97316896044488,.02219303931644841,28.23862923087887,74.31106645362856,1.061477226832881,.0391959006287689,.003161894771458475,2005-12-24,7.4,311.720140804344
"       (2006 HS122)",53920,45.00957498875312,.3729422689642218,4.289263332897968,18.09385325532494,298.7000213316445,307.1243594401237,.003263974114276456,2006-04-26,7.4,301.97123165177
"       (2006 UZ184)",57000,39.33881040730683,.2267677467542119,14.83712982378368,235.9270818189273,150.1630682259511,15.17088688031286,.003994590268057306,2006-10-22,7.4,246.740270522638
"       (2011 FX62)",57000,48.43737321504534,.5793110844966205,18.27411968740052,288.2326911821389,233.1067602053132,10.27894291399229,.002923702635791419,2002-02-07,7.4,337.115776174261
"       (2012 UL177)",57000,40.6718616734308,.1175944939476526,19.22253669095718,272.2437543333417,148.5764587485732,339.0024778522895,.00379981975392698,2011-09-01,7.4,259.387641308235
"       (2012 VV113)",57000,46.08503076221329,.1160167429347533,15.66323729884387,116.1502813610387,295.3958229490894,348.8065818640268,.003150389499908669,2012-11-15,7.4,312.858547616455
"       (2003 OS33)",57000,69.98943272917032,.5299571528038292,20.72715235005262,131.5279611234494,162.6592132256677,16.67725654785515,.001683276125060449,2003-06-05,7.4953,585.540464035371
